Feature,Importance
feature_4635,0.0
feature_4634,0.0
feature_4633,0.0
feature_4632,0.0
feature_99,0.0
feature_4630,0.0
feature_4616,0.0
feature_4628,0.0
feature_4627,0.0
feature_4626,0.0
feature_4625,0.0
feature_4624,0.0
feature_4622,0.0
feature_4621,0.0
feature_4620,0.0
feature_4619,0.0
feature_4618,0.0
feature_4617,0.0
feature_4629,0.0
feature_4570,0.0
feature_4569,0.0
feature_4568,0.0
feature_4567,0.0
feature_4566,0.0
feature_4565,0.0
feature_4564,0.0
feature_4563,0.0
feature_4562,0.0
feature_4561,0.0
feature_4594,0.0
feature_4559,0.0
feature_4558,0.0
feature_4557,0.0
feature_4556,0.0
feature_4555,0.0
feature_4554,0.0
feature_4553,0.0
feature_4552,0.0
feature_4551,0.0
feature_4550,0.0
feature_4549,0.0
feature_4560,0.0
feature_4593,0.0
feature_4592,0.0
feature_4591,0.0
feature_4590,0.0
feature_101,0.0
feature_4588,0.0
feature_4587,0.0
feature_4586,0.0
feature_4585,0.0
feature_4584,0.0
feature_4571,0.0
feature_102,0.0
feature_103,0.0
feature_4580,0.0
feature_4579,0.0
feature_4578,0.0
feature_4577,0.0
feature_4576,0.0
feature_4575,0.0
feature_4574,0.0
feature_4573,0.0
feature_4572,0.0
feature_4583,0.0
feature_4707,0.0
feature_4706,0.0
feature_4705,0.0
feature_4704,0.0
feature_4703,0.0
feature_4702,0.0
feature_4701,0.0
feature_4700,0.0
feature_4699,0.0
feature_4698,0.0
feature_4640,0.0
feature_4696,0.0
feature_4695,0.0
feature_4694,0.0
feature_4693,0.0
feature_93,0.0
feature_4691,0.0
feature_4690,0.0
feature_4689,0.0
feature_4688,0.0
feature_4687,0.0
feature_4697,0.0
feature_4731,0.0
feature_4729,0.0
feature_4728,0.0
feature_4727,0.0
feature_4726,0.0
feature_4725,0.0
feature_4724,0.0
feature_4723,0.0
feature_4722,0.0
feature_4721,0.0
feature_4708,0.0
feature_4719,0.0
feature_4718,0.0
feature_4717,0.0
feature_4716,0.0
feature_4715,0.0
feature_4714,0.0
feature_4713,0.0
feature_4712,0.0
feature_4711,0.0
feature_4710,0.0
feature_4709,0.0
feature_4720,0.0
feature_4662,0.0
feature_4661,0.0
feature_4660,0.0
feature_4659,0.0
feature_4658,0.0
feature_4657,0.0
feature_4656,0.0
feature_4655,0.0
feature_4654,0.0
feature_4653,0.0
feature_4686,0.0
feature_98,0.0
feature_4650,0.0
feature_4649,0.0
feature_4648,0.0
feature_4647,0.0
feature_4646,0.0
feature_4645,0.0
feature_4644,0.0
feature_4643,0.0
feature_4642,0.0
feature_4641,0.0
feature_4652,0.0
feature_4685,0.0
feature_4684,0.0
feature_4683,0.0
feature_4682,0.0
feature_4681,0.0
feature_4680,0.0
feature_4679,0.0
feature_4678,0.0
feature_4677,0.0
feature_94,0.0
feature_4663,0.0
feature_4674,0.0
feature_95,0.0
feature_4672,0.0
feature_4671,0.0
feature_4670,0.0
feature_4669,0.0
feature_4668,0.0
feature_97,0.0
feature_4666,0.0
feature_4665,0.0
feature_4664,0.0
feature_4675,0.0
feature_4433,0.0
feature_4432,0.0
feature_4431,0.0
feature_4430,0.0
feature_4429,0.0
feature_4428,0.0
feature_4427,0.0
feature_4426,0.0
feature_4425,0.0
feature_4424,0.0
feature_4548,0.0
feature_4422,0.0
feature_4421,0.0
feature_4420,0.0
feature_4419,0.0
feature_4418,0.0
feature_4417,0.0
feature_4416,0.0
feature_4415,0.0
