Feature,Importance
cat__OP_UNIQUE_CARRIER_OO,0.0014033391
cat__DISTANCE_BUCKET_very_long,0.0014030951
cat__ROUTE_14893_14057,0.0013955123
cat__ROUTE_13930_15016,0.0013914513
cat__ROUTE_10721_13930,0.0013910538
cat__ROUTE_13204_10821,0.0013892378
cat__ROUTE_14747_14057,0.0013870392
cat__ROUTE_14100_11193,0.0013849249
cat__ROUTE_12892_13303,0.0013778578
cat__ROUTE_11433_12266,0.0013769595
cat__ROUTE_13930_15380,0.0013693266
cat__ROUTE_12173_12402,0.0013641287
cat__ROUTE_12892_14057,0.0013587708
cat__ROUTE_12266_15412,0.0013541954
cat__ROUTE_10372_11292,0.0013458731
cat__ROUTE_14869_11618,0.001344736
cat__ROUTE_11292_14457,0.0013429164
cat__ROUTE_12892_12441,0.0013410787
cat__ROUTE_12478_10423,0.001336371
cat__ROUTE_13930_14027,0.0013296378
cat__ROUTE_14771_12266,0.0013265811
cat__ROUTE_11278_10721,0.0013235431
cat__ROUTE_11697_12953,0.0013220529
cat__ROUTE_11042_12264,0.0013138767
cat__DISTANCE_BUCKET_short,0.0013025054
cat__ROUTE_12889_13796,0.0012824434
cat__ROUTE_13930_11003,0.0012780585
cat__ROUTE_11057_11996,0.0012751997
cat__ROUTE_13303_12889,0.0012740621
cat__ROUTE_12402_12173,0.0012541795
cat__ROUTE_14679_11618,0.0012503816
num__CRS_DEP_COS,0.0012202178
cat__ROUTE_14771_12264,0.0012194098
cat__ROUTE_14492_12478,0.0011929016
cat__DISTANCE_BUCKET_long,0.001192823
cat__ROUTE_14574_11057,0.0011848845
num__CRS_ARR_SIN,0.0011732975
cat__ROUTE_11433_11042,0.0011428384
cat__ROUTE_11292_11122,0.0011174744
cat__ROUTE_13232_12953,0.0011106998
cat__ROUTE_12173_12892,0.0010491511
num__CRS_ARR_COS,0.0010408665
cat__ROUTE_14747_12892,0.0010051624
cat__ROUTE_11433_15304,0.00097606535
cat__ROUTE_13204_14843,0.00096189004
cat__DISTANCE_BUCKET_medium,0.0009042107
cat__ROUTE_11292_10397,0.000851682
cat__ROUTE_11259_13495,0.00083374005
cat__ROUTE_10397_15304,0.0008276509
cat__ROUTE_12892_10397,0.0008025974
cat__ROUTE_11618_11278,0.00067134347
cat__ROUTE_12173_13830,0.0006613958
cat__ROUTE_11292_10140,0.0006375808
cat__ROUTE_14683_11298,0.0006212641
cat__ROUTE_10299_14747,0.00060269143
cat__ROUTE_13204_11259,0.00056658726
cat__ROUTE_14122_13232,0.00046938512
num__IS_WEEKEND,0.00035706337
cat__ROUTE_14683_12191,0.00035033733
cat__ROUTE_12982_12173,0.00024134402
cat__ROUTE_10821_11697,0.00023117418
cat__ROUTE_14321_10821,0.0001574182
cat__ROUTE_12953_13232,0.00011860078
cat__ROUTE_14679_14893,6.6070366e-05
cat__ROUTE_14107_11292,5.9495054e-05
cat__ROUTE_13930_12953,0.0
